index,cep,logradouro,complemento,bairro,localidade,uf,ibge,gia,ddd,siafi
60110370,60110-370,Rua Antônio Augusto,até 909/910,Meireles,Fortaleza,CE,2304400,,85,1389
60812260,60812-260,Travessa Contaneide,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60810220,60810-220,Rua Gontran Giffoni,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60050040,60050-040,Rua Solon Pinheiro,até 589/590,Centro,Fortaleza,CE,2304400,,85,1389
60824030,60824-030,Rua Mauro Freire,,Parque Iracema,Fortaleza,CE,2304400,,85,1389
60115080,60115-080,Rua Barão de Aracati,até 849/850,Meireles,Fortaleza,CE,2304400,,85,1389
60822365,60822-365,Rua Fernando Santos,,Cambeba,Fortaleza,CE,2304400,,85,1389
60192035,60192-035,Rua Vilebaldo Aguiar,de 2031/2032 a 2329/2330,Cocó,Fortaleza,CE,2304400,,85,1389
60811310,60811-310,Rua Reverendo Bolivar Pinto Bandeira,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60833365,60833-365,Rua Eunice Weaver,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60183694,60183-694,Avenida Clóvis Arrais Maia,de 5501/5502 a 5764/5765,Praia do Futuro II,Fortaleza,CE,2304400,,85,1389
60873189,60873-189,Rua Pedestre 15 Lot Santa Helena,,Parque Santa Maria,Fortaleza,CE,2304400,,85,1389
60824040,60824-040,Rua 5,(Lot Cidade Sul),Parque Iracema,Fortaleza,CE,2304400,,85,1389
60130600,60130-600,Rua Evaristo Reis,,Tauape,Fortaleza,CE,2304400,,85,1389
60165070,60165-070,Rua Silva Jatahy,,Meireles,Fortaleza,CE,2304400,,85,1389
60110371,60110-371,Rua Antônio Augusto,de 911/912 a 2099/2100,Aldeota,Fortaleza,CE,2304400,,85,1389
60521040,60521-040,Rua Noel Rosa,até 1599/1600,Henrique Jorge,Fortaleza,CE,2304400,,85,1389
60813565,60813-565,Rua José Alencar Ramos,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60120385,60120-385,Rua Silva Paulet,de 1891/1892 a 3199/3200,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
