Category,Type,Zipcode,City,Neighboor,Address,Description,c_Elevador,c_Portaria,c_Piscina,c_Portao_eletronico,c_Condominio_fechado,c_Segurança_24h,c_Permitido_animais,c_Area_murada,c_Academia,c_Salao_de_festas,p_Porteiro_24h,p_Churrasqueira,p_Piscina,p_Armarios_embutidos,p_Ar_condicionado,p_Quarto_de_servico,p_Varanda,p_Armarios_na_cozinha,p_Academia,p_Area_de_servico,p_Mobiliado,p_Salao_de_festas,Price_Value,Area_value,Bedrooms_qty,Bathrooms_qty,Garage_qty,square_meter_price,full_adress,location
Apartamentos,Venda - apartamento padrão,60110370,Fortaleza,Meireles,Rua Antônio Augusto - até 909/910,"Código do anúncio: LC0013

Conheça o Marbella Home Club,com localização privilegiada no bairro Aldeota,o condomínio oferece piscina adulto e infantil, espaço fitness, deck gourmet, sauna integrada com piscina, hidromassagem com bar molhado, entre outros espaços voltados para sua tranquilidade.
Aproveite esta maravilhosa oportunidade de viver com muito bem-estar e qualidade de vida.
PARA MAIS INFORMAÇÕES ENTRE EM CONTATO",1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,690000,110,3,4,2,6272.727272727273,"Rua Antônio Augusto - até 909/910, Meireles, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60812260,Fortaleza,Edson Queiroz,Travessa Contaneide,"Código do anúncio: AP0389

Empreendimento espetacular ao lado da AV. Washington Soares e fórum Clovis Bevilaqua !!!

Unidades a partir de R$ 283.403,00

Apartamento estúdio 1 quarto - a partir de R$ 283.403,00
2 quartos - 54,09 m2 a partir de (R$ 499.000,00)
3 quartos - 70,62 m2 a partir de (R$ 599.000,00)

Área de lazer completa !!!
Taxa de condomínio isenta até o final do ano !! -",1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,499000,54,2,2,2,9240.74074074074,"Travessa Contaneide, Edson Queiroz, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60810220,Fortaleza,Engenheiro Luciano Cavalcante,Rua Gontran Giffoni,"Código do anúncio: AP0521

Excelente apartamento pronto para morar no Guararapes

O Guararapes é a região que mais cresce e se valoriza em Fortaleza. Condomínio rodeado de toda infraestrutura para seu conforto e qualidade de vida, com apartamentos com 3 suítes, pé direito duplo, varanda, duas vagas e uma estrutrura de lazer completa.
A oportunidade de viver o melhor da vida você encontra aqui. Agende já a sua vista. Verçosa Imobiliária, o imóvel dos seus sonhos está aqui. -",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,650000,82,3,3,2,7926.829268292683,"Rua Gontran Giffoni, Engenheiro Luciano Cavalcante, Fortaleza - CE","Rua Gontran Giffoni, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60810-310, Brasil"
Casas,Venda - casa em rua pública,60050040,Fortaleza,Centro,Rua Solon Pinheiro - até 589/590,"Código do anúncio: fc35f6

Casa, excelente para comercio/residência, nascente, Centro com 145 metros quadrados com 3 quartos e 2 banheiros, excelente localização, ônibus, farmácias, hospital, bancos, nas proximidades, escuta proposta.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275000,145,3,2,0,1896.551724137931,"Rua Solon Pinheiro - até 589/590, Centro, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60824030,Fortaleza,Parque Iracema,Rua Mauro Freire,"Código do anúncio: DAVila_1-2318156

Condomínio Portal de Ávila, apartamento com 58m² de área privativa, andar alto, 2 quartos sendo uma suíte, WC social, sala 2 ambientes, varanda, móveis planejados de ótima qualidadse, lazer completo: piscina com raia, academia, salão de festas, salão de jogos, playground, deck com churrasqueira.Próximo a supermercados, restaurantes, padarias, escolas, faculdades, ponto de ônibus, Igrejas, farmácias, shopping#39;s, há poucos metros para BR 116, Igreja da Glória, Parque del Sol. Aceita financiamento bancário, intermediamos a negociação direto com o proprietário. 
 Diolenio Alves 85.98546.6996 CRECI 8697. 
 
 
 
 
 
 Outras Opções: Apartamento, cobertura, casa em condomínio, casa duplex, casa plana, flat, prédio comercial, ponto comercial, terreno, lote, loteamento, loja, sala comercial, lançamento, imóveis usados, imóveis novos, em Fortaleza - Ceará, Alphaville Fortaleza, alphaville Eusébio, terras Alphaville, ibiza, Alphaville ceará bairro Cocó, Bairro Aldeota, bairro Guararapes, bairro dunas, bairro de Lourdes, bairro papicu, Meireles, Mucuripe, Praia de Iracema, apartamento com vista mar. porto das dunas, mandara lanai, mandara kauai, costa blanca, aquaville acquaville, porto rico, golf ville, wellness, resort, beach park, mediterraneé, solarium, marino beach. Outros: Casa em Condomínio nas dunas, bairro de Lourdes, brisas marinhas, mirante dunas, santorini, mar bello, dunas 601, villagio Atlântico, riviera, village del mare, atlântico dunas, portal das dunnas, mar à vista, stellarium, villagio dunas, safira, jade, ilhas oceânicas, carmel atlântico, estrelas do mar, dunas ville, dunnas, san carlo, Skyline Dunas, Skyview Dunas.Mais imóveis: Casa em condomínio em Fortaleza: novo milênio, amazon boulevard, porto bello, imperial, maison blanche, sunligth, san pedro, carmel park, carmel garden, monte carmel, america continental, monte olimpo, solar das mangueiras, sequoia, segovia, toronto, isola di murano, oliver boulevard, oliver park, oliver residence, grand trianon, petit trianon, belle carmelle, park ávila, villa cascais, Ibirapuera, monte olimpo, carmel designer, carmel imperial, grand carmel, carmel jardins, village lumma, ouro verde, aguas de prata, giardini residenza, belize, líbia sales, lagoa redonda, cidade dos funcionários, sapiranga, cambeba, lago jacarei, edson queiroz, jose de alencar, parque manibura, luciano cavalcante, guararapes, patriolino ribeiro, parque del sol Aldeota, Meireles, Cocó, Guararapes e Dionísio Torres, Sapiranga, cambeba, Luciano Cavalcante, Cocó, Guararapes, Meireles, Beira Mar, Aldeota, Cidade 2000, Porto das Dunas, Eusébio, Aquiraz, 6 Bocas, Aguá Fria, Montese, Bairro de Fátima, s. Temos oportunidades no Edifício / Condomínio Soneto Jardim Europa Cristal Vanguardia Prime José Martins Mônaco Acrópolis Mar e Mar Jardins de Monet Palazzo Arc de France Bonaire Circulo Place Athena Belle Vile Lumiar Vintage Aldeota Saint Square Paço dos Pássa",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,450000,58,2,2,1,7758.620689655172,"Rua Mauro Freire, Parque Iracema, Fortaleza - CE","Rua Mauro Freire, Parque Del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-030, Brasil"
Apartamentos,Venda - apartamento padrão,60115080,Fortaleza,Meireles,Rua Barão de Aracati - até 849/850,"Código do anúncio: AP0099

Belíssimo apartamento próximo a praia com toda comodidade e conforto de um lar, além do condomínio proporcionar uma qualidade de vida espetacular com, playground, academia completa, amplas piscinas, vaga coberta, restaurante interno e pra completar, uma vista única para o mar! -",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,570000,56,2,2,1,10178.57142857143,"Rua Barão de Aracati - até 849/850, Meireles, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60822365,Fortaleza,Cambeba,Rua Fernando Santos,"Código do anúncio: APM1868

Um condomínio clube como você nunca viu. Localização fantástica e uma superinfraestrutura. Na melhor localização do Parque Del Sol, ao lado de excelentes áreas públicas.

O condomínio conta com:
Port Cochère para facilitar acesso de veículos
Fachadas 100% revestidas
Duas piscinas adulto com raias, duas infantis e dois Decks Gourmet com chopeira
Salão de festas adulto equipado e decorado
Salão de Festas Infantil com banheiro em escala para as crianças
Salão de Jogos equipado e decorado
Quadra Poliesportiva e Quadra de Beach Tennis
Kid's place
Exclusivo espaço CoWorking
Home Office e Sala de Estudos
Depósitos individuais para aquisição
SkyHealt com academia totalmente equipada na cobertura
SPA completo com jacuzzi e sauna na cobertura
Bike Space
Pet Care para você cuidar do seu amigão
Ferramentaria equipada e decorada
Lavanderia Lounge
WineBar, Salão Gourmet, Pub Sport Bar e Pizza & Grill Lounge na cobertura
SkyFun com WineBar, Salão Gourmet, Pub Sport Bar e Pizza & Grill Lounge na cobertura
Pub Sport Bar equipado e decorado na cobertura do seu Inovatto
Pizza & Grill Lounge na cobertura.

Além de tudo isso, ainda conta com um Boulevar anexo ao edifício com diversos serviços. Além do boulevard, seu bairro vem com toda infraestrutura que você espera: escolas, faculdades, bancos, supermercados e conveniências, pet shops, padarias, restaurantes e lanchonetes, hospitais e clínicas, shoppings, comércio variado e mais uma infinidade de facilidades

Apartamento com 53m²
13o andar
100% nascente, ventilação espetacular
2 quartos, sendo 2 suítes
Sala integrada com a cozinha americana
Varanda Gourmet
Área de serviço
Uma vaga de garagem

Agende já uma visita!",1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,449000,53,2,2,1,8471.698113207547,"Rua Fernando Santos, Cambeba, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60192035,Fortaleza,Cocó,Rua Vilebaldo Aguiar - de 2031/2032 a 2329/2330,"Código do anúncio: TR103329 - 1LT

Ao entrar em contato conosco, informe o código (TR102847) ao pré atendente de plantão.
Entre no nosso Site triunfoimoveis COM - digite o mesmo código e veja mais detalhes deste imóvel.

=========== O IMÓVEL ===========

Tamanho: 100m²
03 Suítes
Sala de Estar e Jantar
Cozinha com Área de Serviço
02 Vagas na Garagem

Além disso, este imóvel tem:

DCE
Nascente
Mobiliado e Equipado

=========== CONDOMÍNIO ===========

Venha morar no melhor da Cocó com as melhores experiencias em conforto e segurança para você, te proporcionando os melhores vantagens para você.

Uma Área de Lazer :

Minigolf, Kids Room,
Playground,
Sauna molhada,
Piscina com raia de 25 m,
Piscina infantil,
Forno de pizza,
Quadra poliesportiva,
Home cinema,
Parede de escalada,
Spiribol 

======== A TRIUNFO IMÓVEIS =========

Somos especialistas em GENTE! Procuramos Entender você antes de Atender. 
Procuramos estar sempre à frente do mercado com: Tecnologia e Inovação.

Fale com nosso Pré-Atendimento:
FORTALEZA Creci 452J

FIXO (85) 3016.3300

WHATSAPP (85) 98190.3300

==== FINANCIAMENTO BANCARIO ===

APROVAMOS SEU CREDITO EM TODOS OS BANCOS (SOMOS CORRESPONDENTE BANCARIO)

 Ganhe Suporte Juridico para acompanhar seu processo de compra do seu imóvel
 Ganhe TEMPO deixando toda burocracia conosco.

NÃO ASSINE CONTRATO NEM PAGUE SINAL, ANTES DE CERTIFICAR OS DOCUMENTOS.
Para qualquer dúvida ligue para nosso Correspondente Bancário: 
(85)3121.8566 ou  

=========== REDES SOCIAIS ===========

Acompanhe as nossas redes sociais, os imóveis mais luxuosos e exclusivos de FORTALEZA
Instagram: @triunfimoveisfortaleza

Youtube: Triunfo Imoveis

WHATSAPP (85) 98190.3300

=========== TEXTO LEGAL ===========

*Todos os valores anunciados podem sofrer alterações sem prévio aviso, seguindo determinação de seus proprietários ou em consequência das variações do mercado imobiliário. Sem ônus algum para imobiliária
Por política de privacidade e segurança dos proprietários, não informamos andar nem numero de apartamento, somente após identificação através de telefone e e-mail.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950000,100,3,4,2,9500.0,"Rua Vilebaldo Aguiar - de 2031/2032 a 2329/2330, Cocó, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60811310,Fortaleza,Engenheiro Luciano Cavalcante,Rua Reverendo Bolivar Pinto Bandeira,"Código do anúncio: DMV78

Entre linhas arquitetônicas brotam a elegância e o conforto, a funcionalidade e o aconchego para ocupar os espaços generosos para toda a família. Living Garden é assim, um grande e belo jardim onde o melhor da vida floresce todos os dias.

Apartamentos com:
- 189m², Residencial das Flores e das Árvores. 4 suítes, varanda gourmet, 4 vagas.
- 189m², Residencial das Flores e das Árvores. 3 suítes + sala ampliada, varanda gourmet, 4 vagas.
- 152m², Residencial dos Frutos. 3 Suítes + Suíte Reversível, varanda gourmet, 3 vagas.
- 152m², Residencial dos Frutos 3 suítes + gabinete, varanda gourmet, 3 vagas.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1341236,152,3,4,3,8823.921052631578,"Rua Reverendo Bolivar Pinto Bandeira, Engenheiro Luciano Cavalcante, Fortaleza - CE","Rua Reverendo Bolivar Pinto Bandeira, Conjunto Santa Luzia do Cocó, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60811-110, Brasil"
Casas,Venda - casa em condominio fechado,60833365,Fortaleza,Sapiranga-Coité,Rua Eunice Weaver,"Código do anúncio: CA1200

Casa Duplex com 97,8m² de área construída, 3 quartos sendo 1 suíte, 2 vagas de garagem, sala para 2 ambientes, porteiro eletrônico, ,quintal e área de serviço.
Lazer com piscina, decj e salão de festas. -",0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,580000,98,3,2,2,5918.367346938776,"Rua Eunice Weaver, Sapiranga-Coité, Fortaleza - CE","Rua Eunice Weaver, Sapiranga / Coité, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60833-426, Brasil"
